#TYPE System.Diagnostics.Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__NounName,Name,Handles,VM,WS,PM,NPM,Path,Company,CPU,FileVersion,ProductVersion,Description,Product,BasePriority,ExitCode,HasExited,ExitTime,Handle,SafeHandle,HandleCount,Id,MachineName,MainWindowHandle,MainWindowTitle,MainModule,MaxWorkingSet,MinWorkingSet,Modules,NonpagedSystemMemorySize,NonpagedSystemMemorySize64,PagedMemorySize,PagedMemorySize64,PagedSystemMemorySize,PagedSystemMemorySize64,PeakPagedMemorySize,PeakPagedMemorySize64,PeakWorkingSet,PeakWorkingSet64,PeakVirtualMemorySize,PeakVirtualMemorySize64,PriorityBoostEnabled,PriorityClass,PrivateMemorySize,PrivateMemorySize64,PrivilegedProcessorTime,ProcessName,ProcessorAffinity,Responding,SessionId,StartInfo,StartTime,SynchronizingObject,Threads,TotalProcessorTime,UserProcessorTime,VirtualMemorySize,VirtualMemorySize64,EnableRaisingEvents,StandardInput,StandardOutput,StandardError,WorkingSet,WorkingSet64,Site,Container
Process,chrome,276,348000256,21663744,44888064,27136,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.390625,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,1820,Microsoft.Win32.SafeHandles.SafeProcessHandle,276,6312,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,27136,27136,44888064,44888064,555280,555280,50147328,50147328,58580992,58580992,355917824,355917824,TRUE,Idle,44888064,44888064,00:00.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:20,,System.Diagnostics.ProcessThreadCollection,00:01.4,00:01.2,348000256,348000256,FALSE,,,,21663744,21663744,,
Process,chrome,244,243220480,55955456,47923200,25232,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.484375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,3168,Microsoft.Win32.SafeHandles.SafeProcessHandle,244,6444,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,25232,25232,47923200,47923200,318760,318760,57032704,57032704,63225856,63225856,252956672,252956672,TRUE,Normal,47923200,47923200,00:00.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 16:31,,System.Diagnostics.ProcessThreadCollection,00:01.5,00:01.3,243220480,243220480,FALSE,,,,55955456,55955456,,
Process,chrome,217,231809024,16416768,47370240,22512,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.21875,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,4592,Microsoft.Win32.SafeHandles.SafeProcessHandle,217,7188,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,22512,22512,47370240,47370240,301000,301000,48902144,48902144,44638208,44638208,236683264,236683264,TRUE,Idle,47370240,47370240,00:00.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:18,,System.Diagnostics.ProcessThreadCollection,00:01.2,00:01.0,231809024,231809024,FALSE,,,,16416768,16416768,,
Process,chrome,3450,1031786496,195911680,406605824,107520,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,782.828125,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,4812,Microsoft.Win32.SafeHandles.SafeProcessHandle,3450,7236,.,67268,powershell - command line - switch to administrator mode - Server Fault - Google Chrome,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,107520,107520,406605824,406605824,1358912,1358912,427466752,427466752,305856512,305856512,1207611392,1207611392,TRUE,Normal,406605824,406605824,03:25.1,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:17,,System.Diagnostics.ProcessThreadCollection,13:02.8,09:37.7,1031786496,1031786496,FALSE,,,,195911680,195911680,,
Process,chrome,278,443600896,105000960,133271552,35568,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,2707.9375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,4428,Microsoft.Win32.SafeHandles.SafeProcessHandle,278,7348,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,35568,35568,133271552,133271552,543832,543832,138706944,138706944,110137344,110137344,446746624,446746624,TRUE,Idle,133271552,133271552,00:04.8,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:19,,System.Diagnostics.ProcessThreadCollection,45:07.9,45:03.1,443600896,443600896,FALSE,,,,105000960,105000960,,
Process,chrome,238,232083456,19623936,49586176,24280,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.265625,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,4104,Microsoft.Win32.SafeHandles.SafeProcessHandle,238,7396,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,24280,24280,49586176,49586176,304584,304584,51408896,51408896,51146752,51146752,238129152,238129152,TRUE,Idle,49586176,49586176,00:00.1,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:19,,System.Diagnostics.ProcessThreadCollection,00:01.3,00:01.1,232083456,232083456,FALSE,,,,19623936,19623936,,
Process,chrome,276,392904704,41369600,74530816,29992,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,8.609375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,5972,Microsoft.Win32.SafeHandles.SafeProcessHandle,276,7412,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,29992,29992,74530816,74530816,545448,545448,102588416,102588416,139395072,139395072,450281472,450281472,TRUE,Idle,74530816,74530816,00:01.1,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:19,,System.Diagnostics.ProcessThreadCollection,00:08.6,00:07.5,392904704,392904704,FALSE,,,,41369600,41369600,,
Process,chrome,219,214310912,14954496,27205632,21424,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,0.875,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,5168,Microsoft.Win32.SafeHandles.SafeProcessHandle,219,7568,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,21424,21424,27205632,27205632,290384,290384,27725824,27725824,28172288,28172288,215633920,215633920,TRUE,Normal,27205632,27205632,00:00.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:18,,System.Diagnostics.ProcessThreadCollection,00:00.9,00:00.7,214310912,214310912,FALSE,,,,14954496,14954496,,
Process,chrome,378,781705216,246214656,390471680,69864,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,238.984375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,4652,Microsoft.Win32.SafeHandles.SafeProcessHandle,378,7736,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,69864,69864,390471680,390471680,634912,634912,425500672,425500672,445747200,445747200,819773440,819773440,TRUE,Normal,390471680,390471680,00:14.8,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:19,,System.Diagnostics.ProcessThreadCollection,03:59.0,03:44.1,781705216,781705216,FALSE,,,,246214656,246214656,,
Process,chrome,286,392818688,25669632,85237760,31216,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,4.4375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,5316,Microsoft.Win32.SafeHandles.SafeProcessHandle,286,7748,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,31216,31216,85237760,85237760,548864,548864,99536896,99536896,105308160,105308160,420302848,420302848,TRUE,Idle,85237760,85237760,00:00.6,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:20,,System.Diagnostics.ProcessThreadCollection,00:04.4,00:03.8,392818688,392818688,FALSE,,,,25669632,25669632,,
Process,chrome,239,235233280,20742144,42876928,24280,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.671875,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,5612,Microsoft.Win32.SafeHandles.SafeProcessHandle,239,7864,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,24280,24280,42876928,42876928,327120,327120,49688576,49688576,60207104,60207104,246702080,246702080,TRUE,Idle,42876928,42876928,00:00.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:18,,System.Diagnostics.ProcessThreadCollection,00:01.7,00:01.4,235233280,235233280,FALSE,,,,20742144,20742144,,
Process,chrome,294,415035392,54525952,77426688,31760,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1334.59375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,8,,FALSE,,5636,Microsoft.Win32.SafeHandles.SafeProcessHandle,294,8048,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,31760,31760,77426688,77426688,580352,580352,80945152,80945152,121683968,121683968,435994624,435994624,TRUE,Normal,77426688,77426688,04:17.2,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 10:18,,System.Diagnostics.ProcessThreadCollection,22:14.6,17:57.4,415035392,415035392,FALSE,,,,54525952,54525952,,
Process,chrome,259,279326720,47656960,56340480,27000,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,9.109375,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,4388,Microsoft.Win32.SafeHandles.SafeProcessHandle,259,11388,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,27000,27000,56340480,56340480,352032,352032,74645504,74645504,86069248,86069248,302862336,302862336,TRUE,Idle,56340480,56340480,00:00.8,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 15:06,,System.Diagnostics.ProcessThreadCollection,00:09.1,00:08.3,279326720,279326720,FALSE,,,,47656960,47656960,,
Process,chrome,239,236273664,52334592,44449792,24416,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.1875,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,2536,Microsoft.Win32.SafeHandles.SafeProcessHandle,239,12924,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,24416,24416,44449792,44449792,310184,310184,55316480,55316480,58036224,58036224,240242688,240242688,TRUE,Idle,44449792,44449792,00:00.1,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 16:31,,System.Diagnostics.ProcessThreadCollection,00:01.2,00:01.1,236273664,236273664,FALSE,,,,52334592,52334592,,
Process,chrome,236,235454464,32612352,44150784,24280,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,2.078125,47.0.2526.73,47.0.2526.73,Google Chrome,Google Chrome,4,,FALSE,,4048,Microsoft.Win32.SafeHandles.SafeProcessHandle,236,13280,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,24280,24280,44150784,44150784,314216,314216,53702656,53702656,64053248,64053248,250728448,250728448,TRUE,Idle,44150784,44150784,00:00.4,chrome,15,TRUE,1,System.Diagnostics.ProcessStartInfo,12/7/2015 15:05,,System.Diagnostics.ProcessThreadCollection,00:02.1,00:01.7,235454464,235454464,FALSE,,,,32612352,32612352,,
